Min Plate Aspect Ratio	Max Plate Aspect Ratio	Min Char Aspect Ratio	Max Char Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
4.5	7	0.2	0.9	261.5443265	0.089826584	0.205929995	1080	36	0.343518519	0.777777778
4.5	7.5	0.2	0.9	262.2097054	0.090206146	0.19696188	1080	36	0.343518519	0.777777778
3	7	0.2	0.9	262.270853	0.085752487	0.206127167	1080	36	0.343518519	0.777777778
4	7	0.2	0.9	262.3305345	0.089757919	0.210946798	1080	36	0.343518519	0.777777778
3.5	7	0.2	0.9	262.384305	0.086767912	0.199971676	1080	36	0.343518519	0.777777778
4.5	9.5	0.2	0.9	262.9061317	0.092261791	0.200499535	1080	36	0.343518519	0.777777778
4.5	9	0.2	0.9	262.9967566	0.090758324	0.190494776	1080	36	0.343518519	0.777777778
4	7.5	0.2	0.9	263.2025602	0.092263222	0.210891247	1080	36	0.343518519	0.777777778
4.5	8.5	0.2	0.9	263.2077985	0.089761734	0.208441973	1080	36	0.343518519	0.777777778
4	9	0.2	0.9	263.2833738	0.085621357	0.190490961	1080	36	0.343518519	0.777777778
4.5	8	0.2	0.9	263.3064702	0.08778286	0.216424465	1080	36	0.343518519	0.777777778
4.5	10	0.2	0.9	263.5163093	0.089761972	0.191700459	1080	36	0.343518519	0.777777778
4	8	0.2	0.9	263.5325391	0.087765217	0.197470427	1080	36	0.343518519	0.777777778
4	8.5	0.2	0.9	263.822866	0.08998704	0.207522392	1080	36	0.343518519	0.777777778
3.5	7.5	0.2	0.9	263.9075301	0.087937832	0.214426041	1080	36	0.343518519	0.777777778
3	8	0.2	0.9	264.1036701	0.085772514	0.199465036	1080	36	0.343518519	0.777777778
3	7.5	0.2	0.9	264.2686191	0.089853048	0.202212095	1080	36	0.343518519	0.777777778
3	8.5	0.2	0.9	264.2701473	0.08891201	0.200463533	1080	36	0.343518519	0.777777778
3.5	9	0.2	0.9	264.3157539	0.087944269	0.215963364	1080	36	0.343518519	0.777777778
3.5	8	0.2	0.9	264.3408082	0.091057777	0.181514263	1080	36	0.343518519	0.777777778
3.5	8.5	0.2	0.9	264.6352839	0.08577013	0.188120604	1080	36	0.343518519	0.777777778
3	9.5	0.2	0.9	264.7957244	0.08978796	0.198000431	1080	36	0.343518519	0.777777778
3	10	0.2	0.9	264.9129267	0.087272644	0.205502987	1080	36	0.343518519	0.777777778
3	9	0.2	0.9	265.0420983	0.089745998	0.200481176	1080	36	0.343518519	0.777777778
4	10	0.2	0.9	265.126091	0.086768866	0.199488401	1080	36	0.343518519	0.777777778
3.5	9.5	0.2	0.9	265.3796206	0.091785431	0.21549201	1080	36	0.343518519	0.777777778
4	9.5	0.2	0.9	265.6895745	0.089800596	0.209440708	1080	36	0.343518519	0.777777778
3.5	10	0.2	0.9	265.9233391	0.086808205	0.213429451	1080	36	0.343518519	0.777777778
2	7	0.2	0.9	287.6677804	0.092751503	0.24784255	1080	36	0.343518519	0.777777778
2.5	7	0.2	0.9	287.8330483	0.088771343	0.224405289	1080	36	0.343518519	0.777777778
2	7.5	0.2	0.9	287.9325154	0.093749762	0.215117455	1080	36	0.343518519	0.777777778
2.5	7.5	0.2	0.9	288.0211921	0.093769073	0.227522373	1080	36	0.343518519	0.777777778
2.5	8	0.2	0.9	288.069937	0.090770006	0.23043561	1080	36	0.343518519	0.777777778
2.5	8.5	0.2	0.9	288.6049914	0.094747782	0.198539019	1080	36	0.343518519	0.777777778
2.5	9.5	0.2	0.9	288.6249397	0.097738028	0.212456465	1080	36	0.343518519	0.777777778
2	8.5	0.2	0.9	288.7646854	0.098735094	0.23329401	1080	36	0.343518519	0.777777778
2.5	9	0.2	0.9	289.0598547	0.093748569	0.230360508	1080	36	0.343518519	0.777777778
2	9	0.2	0.9	289.0697293	0.104719877	0.215435982	1080	36	0.343518519	0.777777778
2	9.5	0.2	0.9	289.2210431	0.092755556	0.227329254	1080	36	0.343518519	0.777777778
2.5	10	0.2	0.9	289.7256682	0.096741676	0.231382847	1080	36	0.343518519	0.777777778
2	8	0.2	0.9	289.762203	0.097742558	0.21126914	1080	36	0.343518519	0.777777778
2	10	0.2	0.9	289.7623613	0.098749638	0.214022636	1080	36	0.343518519	0.777777778
4.5	6.5	0.2	0.9	260.9292269	0.08978653	0.215430021	1080	36	0.341666667	0.777777778
4	6.5	0.2	0.9	261.8243537	0.088762045	0.208129883	1080	36	0.341666667	0.777777778
3.5	6.5	0.2	0.9	262.0062702	0.089772463	0.218471527	1080	36	0.341666667	0.777777778
3	6.5	0.2	0.9	262.249032	0.085776091	0.216510534	1080	36	0.341666667	0.777777778
3.5	7	0.2	1	279.6280558	0.086798191	0.21592927	1080	36	0.341666667	0.777777778
4	7.5	0.2	1	279.98137	0.087217093	0.237392664	1080	36	0.341666667	0.777777778
2.5	7	0.2	1	280.1496878	0.088762522	0.22892642	1080	36	0.341666667	0.777777778
3.5	7.5	0.2	1	280.1523592	0.089871168	0.21751833	1080	36	0.341666667	0.777777778
3	7	0.2	1	280.1737828	0.088762283	0.219441414	1080	36	0.341666667	0.777777778
3	7.5	0.2	1	280.4960229	0.088271379	0.254319906	1080	36	0.341666667	0.777777778
4	7	0.2	1	280.5195708	0.092751265	0.217423439	1080	36	0.341666667	0.777777778
4	8.5	0.2	1	280.9364941	0.08873415	0.205446959	1080	36	0.341666667	0.777777778
4	8	0.2	1	280.9439101	0.088293076	0.231357098	1080	36	0.341666667	0.777777778
3.5	8	0.2	1	281.0064292	0.089352369	0.216424942	1080	36	0.341666667	0.777777778
2.5	7.5	0.2	1	281.228977	0.087765932	0.204554319	1080	36	0.341666667	0.777777778
2.5	9	0.2	1	281.2343478	0.09173274	0.215482712	1080	36	0.341666667	0.777777778
2.5	8	0.2	1	281.495739	0.08931303	0.221974373	1080	36	0.341666667	0.777777778
4	9	0.2	1	281.49702	0.08917284	0.230355978	1080	36	0.341666667	0.777777778
3.5	8.5	0.2	1	281.7595866	0.088769197	0.212060213	1080	36	0.341666667	0.777777778
2.5	8.5	0.2	1	281.897764	0.089760065	0.219483137	1080	36	0.341666667	0.777777778
3.5	9	0.2	1	281.9850588	0.090757132	0.214977503	1080	36	0.341666667	0.777777778
3.5	9.5	0.2	1	282.2192724	0.085858107	0.222603083	1080	36	0.341666667	0.777777778
3	8	0.2	1	282.3152969	0.089758396	0.223402023	1080	36	0.341666667	0.777777778
3.5	10	0.2	1	282.7269485	0.087272406	0.221500635	1080	36	0.341666667	0.777777778
4.5	7	0.2	1	282.7427597	0.087771893	0.211424112	1080	36	0.341666667	0.777777778
3	8.5	0.2	1	283.3306499	0.087764025	0.210466385	1080	36	0.341666667	0.777777778
2.5	9.5	0.2	1	283.3347483	0.08579731	0.211160421	1080	36	0.341666667	0.777777778
3	10	0.2	1	283.653415	0.090236425	0.216392279	1080	36	0.341666667	0.777777778
3	9	0.2	1	283.6606095	0.089289427	0.21444869	1080	36	0.341666667	0.777777778
4.5	7.5	0.2	1	283.8780568	0.088762283	0.221410036	1080	36	0.341666667	0.777777778
3	9.5	0.2	1	283.9790382	0.092724085	0.228402615	1080	36	0.341666667	0.777777778
4.5	8	0.2	1	284.6791348	0.092758656	0.225396872	1080	36	0.341666667	0.777777778
2.5	10	0.2	1	284.9172671	0.087764978	0.214426279	1080	36	0.341666667	0.777777778
4.5	8.5	0.2	1	285.0222754	0.091747999	0.257311344	1080	36	0.341666667	0.777777778
2	6.5	0.2	0.9	286.2169924	0.099732161	0.196483374	1080	36	0.341666667	0.777777778
4	9.5	0.2	1	286.4846239	0.086937189	0.217964649	1080	36	0.341666667	0.777777778
2.5	6.5	0.2	0.9	287.0397937	0.099462032	0.220901728	1080	36	0.341666667	0.777777778
4.5	9	0.2	1	292.5549774	0.095105648	0.233384132	1080	36	0.341666667	0.777777778
4	10	0.2	1	293.9913511	0.095777988	0.241358042	1080	36	0.341666667	0.777777778
4.5	10	0.2	1	294.3284092	0.090755701	0.225479364	1080	36	0.341666667	0.777777778
4.5	9.5	0.2	1	300.4237409	0.09474659	0.218415737	1080	36	0.341666667	0.777777778
2	7	0.2	1	304.7759924	0.091968536	0.227689266	1080	36	0.341666667	0.777777778
2	7.5	0.2	1	306.8245869	0.090758801	0.240867376	1080	36	0.341666667	0.777777778
2	8.5	0.2	1	307.8544309	0.087765217	0.237393141	1080	36	0.341666667	0.777777778
2	8	0.2	1	307.9448645	0.095834255	0.22249651	1080	36	0.341666667	0.777777778
2	9	0.2	1	308.4011593	0.099297047	0.216927767	1080	36	0.341666667	0.777777778
2	9.5	0.2	1	308.4762623	0.093904257	0.226705551	1080	36	0.341666667	0.777777778
2	10	0.2	1	309.1788518	0.094798565	0.228894949	1080	36	0.341666667	0.777777778
3.5	6.5	0.2	1	278.963901	0.090758562	0.214404345	1080	36	0.339814815	0.777777778
4	6.5	0.2	1	279.1137602	0.088734627	0.212461233	1080	36	0.339814815	0.777777778
