Min Plate Aspect Ratio	Max Plate Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
2	8	301.3297153	0.09481144	0.259307146	1080	36	0.332407407	0.777777778
2.5	8	272.8056736	0.089932203	0.214576006	1080	36	0.332407407	0.777777778
3	8	273.922585	0.086767912	0.205449104	1080	36	0.332407407	0.777777778
2	6	296.7375441	0.089784861	0.250344276	1080	36	0.324074074	0.777777778
2	6.5	298.4836533	0.095743895	0.233929634	1080	36	0.330555556	0.777777778
2	7	299.4170041	0.090149879	0.214022636	1080	36	0.332407407	0.777777778
2	7.5	300.4627335	0.090758801	0.260744333	1080	36	0.332407407	0.777777778
2	8.5	301.9587722	0.092417955	0.22140646	1080	36	0.332407407	0.777777778
2	9	302.1960502	0.094929218	0.228389025	1080	36	0.332407407	0.777777778
2	9.5	302.8329329	0.091275692	0.222545147	1080	36	0.332407407	0.777777778
2	10	304.2198527	0.089839458	0.25929141	1080	36	0.332407407	0.777777778
3.5	8	272.3509936	0.08779192	0.205474377	1080	36	0.332407407	0.777777778
4	8	272.064888	0.087330103	0.211443663	1080	36	0.332407407	0.777777778
4.5	8	274.3640058	0.091728926	0.215420485	1080	36	0.332407407	0.777777778
5	8	272.848263	0.089759827	0.226087809	1080	36	0.322222222	0.777777778
2.5	6	269.8707697	0.087790489	0.210508585	1080	36	0.324074074	0.777777778
2.5	6.5	271.0444717	0.092288971	0.216099977	1080	36	0.330555556	0.777777778
2.5	7	271.4484913	0.086768389	0.215424538	1080	36	0.332407407	0.777777778
2.5	7.5	272.6123896	0.087763786	0.229388237	1080	36	0.332407407	0.777777778
2.5	8.5	274.5359731	0.086767673	0.213438034	1080	36	0.332407407	0.777777778
2.5	9	275.4098282	0.088334084	0.214523792	1080	36	0.332407407	0.777777778
2.5	9.5	275.9861057	0.087782383	0.216427326	1080	36	0.332407407	0.777777778
2.5	10	276.3059859	0.087766171	0.214425802	1080	36	0.332407407	0.777777778
3	6	269.3407757	0.088145018	0.213428736	1080	36	0.324074074	0.777777778
3	6.5	270.5064409	0.087912798	0.217949629	1080	36	0.330555556	0.777777778
3	7	271.5284054	0.087765694	0.213428974	1080	36	0.332407407	0.777777778
3	7.5	273.0562959	0.090909004	0.220098734	1080	36	0.332407407	0.777777778
3	8.5	274.5018387	0.091727734	0.214454889	1080	36	0.332407407	0.777777778
3	9	275.1883197	0.087765694	0.209950447	1080	36	0.332407407	0.777777778
